task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
57	5b/e3b0a6	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS	barcode01	COMPLETED	0	ontresearch/medaka:latest	2	-	-	2 GB	2025-09-02 11:12:23.797	2025-09-02 11:12:54.110	30.4s	27.7s	0	29.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/5b/e3b0a6bfabdd59f5f5723f873d1417	1.0%	113.5%	13 GB
66	4d/5356dd	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:52.047	2025-09-02 11:12:55.854	3.9s	2.8s	27.1 MB	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/4d/5356dd42b69243e78c2f9ebe325dab	0.4%	140.8%	5.9 GB
67	0f/23b710	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:52.146	2025-09-02 11:12:55.952	3.9s	2.6s	16.1 MB	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/0f/23b71085c187e81b7c8961849d7f2c	0.4%	195.0%	6 GB
65	3a/ca3a39	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:51.948	2025-09-02 11:12:56.058	4.2s	2.9s	28 MB	1.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/3a/ca3a395978028ad47a1490bfe64403	0.4%	137.4%	5.9 GB
64	7b/fa18e6	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:51.853	2025-09-02 11:12:56.163	4.4s	2.8s	34.3 MB	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/7b/fa18e695e9a1a8768016a6bc1c5067	0.4%	136.6%	5.9 GB
68	af/d0869c	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:52.852	2025-09-02 11:12:56.518	3.8s	2s	0	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/af/d0869c9ff92678ff72da26ea41c561	0.4%	236.9%	6 GB
71	0c/65040f	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:53.878	2025-09-02 11:12:56.954	3.1s	2.1s	0	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/0c/65040f4a1d95b7f1ab7ae5fe605e25	0.3%	267.1%	6 GB
73	e5/fc3e82	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:54.101	2025-09-02 11:12:57.299	3.3s	2s	0	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/e5/fc3e82166683054579cf3b8f1ff742	0.3%	237.0%	6 GB
69	0d/71d9d8	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:53.442	2025-09-02 11:12:57.512	4.2s	2.1s	0	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/0d/71d9d8aece4e134ed8a74233d2d91b	0.3%	154.0%	6 GB
74	b8/5a5183	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:54.210	2025-09-02 11:12:57.604	3.5s	2s	0	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b8/5a51839b845221f2c26ac423b657d5	0.3%	166.0%	6 GB
70	02/70f540	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:53.802	2025-09-02 11:12:57.687	4s	2s	0	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/02/70f540bbf72d58991b2c61215f566b	0.3%	170.8%	6 GB
72	90/1f4daf	UMI_PIPELINE:UMI_POLISHING:STITCH_CONSENSUS	barcode01	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:53.977	2025-09-02 11:12:57.779	3.9s	2.1s	0	2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/90/1f4daf9c44dc74c2c2d8cb4245824d	0.3%	158.2%	6 GB
75	00/6b0b00	UMI_PIPELINE:UMI_POLISHING:MERGE_CONSENSUS_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:57.879	2025-09-02 11:12:58.408	616ms	23ms	36 KB	21.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/00/6b0b009bc6ed40cebdcdd987a44315	0.0%	106.7%	7.1 MB
76	6b/9a5666	UMI_PIPELINE:UMI_POLISHING:FILTER_CONSENSUS_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:58.508	2025-09-02 11:12:59.113	684ms	160ms	96 KB	21.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/6b/9a5666b70dac70ffd7aacdf714d4a8	0.0%	1818.2%	42.8 MB
77	5d/44ee6d	UMI_PIPELINE:UMI_POLISHING:MAP_CONSENSUS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:12:59.213	2025-09-02 11:12:59.988	857ms	313ms	0	6.6 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/5d/44ee6d4d47605a850b380ab018b9e4	0.0%	1478.4%	887.3 MB
78	e9/0c6856	UMI_PIPELINE:VARIANT_CALLING:MUTSERVE	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 11:13:00.088	2025-09-02 11:13:02.812	2.8s	2.3s	28.9 MB	1.7 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/e9/0c68567a19d384a8113b679770ad5a	1.3%	215.2%	20.9 GB
