task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
801	95/7db582	2273825	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:23.383	5.4s	3.2s	162.7%	517.8 MB	12.8 GB	26 MB	3 MB
800	38/cb3586	2273702	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:23.173	5.7s	3s	123.6%	605.3 MB	13 GB	25.8 MB	2.9 MB
802	c5/3dbe4c	2273860	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:23.406	5.6s	3.1s	124.2%	516.4 MB	12.8 GB	25.9 MB	3 MB
799	2a/853572	2273347	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:22.929	6.2s	3.4s	125.0%	609.5 MB	13.1 GB	25.9 MB	2.9 MB
804	0c/e3bf77	2275288	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:24.557	5s	3s	132.1%	518.4 MB	12.8 GB	25.8 MB	3 MB
803	0b/b2eb4f	2273953	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:23.495	6.3s	3.1s	150.2%	516.9 MB	12.8 GB	25.9 MB	3 MB
805	e5/4c8b58	2275414	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:24.675	5.7s	3.2s	150.2%	633.6 MB	12.9 GB	25.9 MB	3 MB
806	c4/65d72c	2276236	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:25.325	5.1s	3.1s	153.6%	517.5 MB	12.8 GB	25.9 MB	2.9 MB
807	9b/4ededd	2276454	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:25.451	5.6s	3.5s	151.8%	609 MB	13.2 GB	25.9 MB	3 MB
808	82/733b06	2276976	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:26.091	5.2s	3.3s	146.5%	610.7 MB	12.9 GB	25.9 MB	2.9 MB
809	d3/5afc00	2277288	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:26.299	5.4s	2.9s	156.6%	521.2 MB	12.8 GB	25.8 MB	2.9 MB
811	32/acaef5	2277775	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:26.780	5.1s	2.9s	132.1%	518.2 MB	12.8 GB	25.8 MB	3 MB
810	c2/abfea5	2277610	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:26.621	5.4s	3s	142.6%	518.6 MB	12.8 GB	25.9 MB	2.9 MB
812	14/94c608	2279627	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:28.218	5.2s	2.9s	172.4%	602.9 MB	12.9 GB	25.9 MB	3 MB
813	65/330c90	2279860	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:28.505	4.9s	3s	168.8%	602.7 MB	12.9 GB	25.8 MB	3 MB
814	cb/9a3824	2279963	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:28.563	5.6s	3.1s	141.3%	563.7 MB	12.8 GB	25.9 MB	3 MB
815	68/629f4b	2280087	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:28.777	5.4s	3.4s	141.3%	527.6 MB	12.8 GB	25.8 MB	2.9 MB
817	35/1d23da	2280300	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:29.015	5.5s	2.9s	133.6%	570.6 MB	12.8 GB	25.8 MB	3 MB
816	56/9a83c8	2280143	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:28.835	6.4s	3.3s	151.9%	613.5 MB	13.1 GB	25.8 MB	3 MB
818	51/d5120e	2280444	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:29.110	6.2s	3s	149.5%	601.2 MB	12.9 GB	25.9 MB	3 MB
820	82/305f6a	2281131	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:29.799	7s	3.5s	122.6%	608.5 MB	13.1 GB	25.9 MB	3 MB
819	45/e6dc6e	2280918	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:29.598	7.5s	3.6s	123.9%	608.8 MB	13.1 GB	25.8 MB	3 MB
821	86/4ebf9c	2281747	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:30.339	7s	3.7s	119.1%	607.9 MB	12.9 GB	25.9 MB	3 MB
822	91/d54819	2281888	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:30.425	7.8s	3s	160.1%	606.3 MB	12.9 GB	25.9 MB	3 MB
823	7f/f889ef	2282417	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:31.025	7.5s	3.2s	127.4%	522.1 MB	12.8 GB	25.9 MB	2.9 MB
824	24/b09145	2282749	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:31.260	7.6s	3.2s	136.3%	514.7 MB	12.8 GB	25.8 MB	2.9 MB
825	a8/3bb820	2283108	UMI_PIPELINE:UMI_POLISHING:CREATE_CONSENSUS (barcode02)	COMPLETED	0	2025-07-14 10:57:31.670	7.3s	3s	139.7%	520.5 MB	12.8 GB	25.8 MB	3 MB
