task_id	hash	process	tag	status	exit	container	cpus	time	disk	memory	start	complete	duration	realtime	read_bytes	write_bytes	workdir	%mem	%cpu	vmem
23	60/de2b64	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MERGE_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:32:42.987	2025-09-02 22:35:44.185	3m 1s	2m 58s	469.9 MB	402.3 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/60/de2b64d6d3b5d43f0488ac857755e4	0.0%	14.0%	125.9 MB
46	f0/f7eccc	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:27.261	2025-09-02 22:35:45.801	18.6s	16.4s	0	151.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f0/f7ecccf843fbbc9ce3472fa4dd91fe	1.1%	492.6%	26.7 GB
54	b6/358635	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:38.548	2025-09-02 22:35:49.705	11.3s	8.9s	0	247.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/b6/3586354af00c4fd676c6be2316acd0	0.0%	90.1%	132.7 MB
47	ff/b704a7	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:29.097	2025-09-02 22:35:55.145	26.1s	24.2s	8 KB	159.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ff/b704a78274e6d563077f183d400320	1.1%	348.2%	26.1 GB
57	9f/bbe11f	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:43.484	2025-09-02 22:35:55.881	12.4s	10.1s	0	279.8 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/9f/bbe11f4bf1484c44afd8bdf4ba858f	0.0%	89.7%	134.6 MB
48	f4/3abc25	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:30.868	2025-09-02 22:35:56.865	26.1s	24s	0	152.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/f4/3abc2504bfcf448aff95672b01d57e	1.1%	339.7%	26.2 GB
52	ed/09e2fb	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:38.039	2025-09-02 22:35:57.549	19.5s	17.9s	0	394 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/ed/09e2fbe949a7634f4f3488a3f79ae1	0.0%	90.7%	124.8 MB
59	67/38feec	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:SPLIT_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:45.905	2025-09-02 22:36:04.799	19s	17.2s	0	379.2 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/67/38feec969525043dd119e64a37a123	0.0%	91.1%	124.8 MB
50	29/64f176	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:MAP_READS	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:34.329	2025-09-02 22:36:06.261	31.9s	29.8s	4 KB	157.5 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/29/64f176f6ab6686e5bcbd5458838e49	1.1%	285.0%	26.2 GB
70	3e/b6616f	UMI_PIPELINE:OFFLINE_UMI_PROCESSING:DETECT_UMI_FASTQ	-	COMPLETED	0	genepi/umi-pipeline-nfv1.0.0:latest	1	-	-	-	2025-09-02 22:35:58.595	2025-09-02 22:36:11.804	13.2s	11.5s	1.1 MB	274.1 MB	/media/qf0297/sequencing/umi-pipeline-nf/work/3e/b6616fed44452537540f07deca8b51	0.0%	84.0%	133.7 MB
