barcode	target	n_cluster	task_index	timestamp	sample	task_index_chtronological	runtime_hours	runtime_minutes
barcode68	lpa5104	75	27	2026-02-02T15:13:00Z	HG03234	28	1.7666666666666666	106
barcode70	lpa5104	42	28	2026-02-02T15:13:00Z	NA18868	25	1.7666666666666666	106
barcode67	lpa5104	72	29	2026-02-02T15:13:00Z	HG02778	24	1.7666666666666666	106
barcode71	lpa5104	83	30	2026-02-02T15:13:00Z	NA19098	24	1.7666666666666666	106
barcode72	lpa5104	11	31	2026-02-02T15:13:00Z	NA19190	16	1.7666666666666666	106
barcode65	lpa5104	49	32	2026-02-02T15:13:00Z	HG01593	27	1.7666666666666666	106
barcode69	lpa5104	18	33	2026-02-02T15:13:00Z	HG03765	23	1.7666666666666666	106
barcode66	lpa5104	27	26	2026-02-02T15:24:00Z	HG02657	27	1.95	117
barcode70	lpa5104	42	28	2026-02-02T15:24:00Z	NA18868	26	1.95	117
barcode67	lpa5104	72	29	2026-02-02T15:24:00Z	HG02778	25	1.95	117
barcode71	lpa5104	83	30	2026-02-02T15:24:00Z	NA19098	25	1.95	117
barcode72	lpa5104	11	31	2026-02-02T15:24:00Z	NA19190	17	1.95	117
barcode65	lpa5104	49	32	2026-02-02T15:24:00Z	HG01593	28	1.95	117
barcode69	lpa5104	18	33	2026-02-02T15:24:00Z	HG03765	24	1.95	117
barcode68	lpa5104	145	34	2026-02-02T15:24:00Z	HG03234	29	1.95	117
barcode70	lpa5104	42	28	2026-02-02T15:25:00Z	NA18868	27	1.9666666666666666	118
barcode67	lpa5104	72	29	2026-02-02T15:25:00Z	HG02778	26	1.9666666666666666	118
barcode71	lpa5104	83	30	2026-02-02T15:25:00Z	NA19098	26	1.9666666666666666	118
barcode72	lpa5104	11	31	2026-02-02T15:25:00Z	NA19190	18	1.9666666666666666	118
barcode65	lpa5104	49	32	2026-02-02T15:25:00Z	HG01593	29	1.9666666666666666	118
barcode69	lpa5104	18	33	2026-02-02T15:25:00Z	HG03765	25	1.9666666666666666	118
barcode68	lpa5104	145	34	2026-02-02T15:25:00Z	HG03234	30	1.9666666666666666	118
barcode66	lpa5104	69	35	2026-02-02T15:25:00Z	HG02657	28	1.9666666666666666	118
barcode67	lpa5104	72	29	2026-02-02T15:30:00Z	HG02778	27	2.05	123
barcode71	lpa5104	83	30	2026-02-02T15:30:00Z	NA19098	27	2.05	123
barcode72	lpa5104	11	31	2026-02-02T15:30:00Z	NA19190	19	2.05	123
barcode65	lpa5104	49	32	2026-02-02T15:30:00Z	HG01593	30	2.05	123
barcode69	lpa5104	18	33	2026-02-02T15:30:00Z	HG03765	26	2.05	123
barcode68	lpa5104	145	34	2026-02-02T15:30:00Z	HG03234	31	2.05	123
barcode66	lpa5104	69	35	2026-02-02T15:30:00Z	HG02657	29	2.05	123
barcode70	lpa5104	79	36	2026-02-02T15:30:00Z	NA18868	28	2.05	123
barcode67	lpa5104	72	29	2026-02-02T15:32:00Z	HG02778	28	2.0833333333333335	125
barcode71	lpa5104	83	30	2026-02-02T15:32:00Z	NA19098	28	2.0833333333333335	125
barcode72	lpa5104	11	31	2026-02-02T15:32:00Z	NA19190	20	2.0833333333333335	125
barcode69	lpa5104	18	33	2026-02-02T15:32:00Z	HG03765	27	2.0833333333333335	125
barcode68	lpa5104	145	34	2026-02-02T15:32:00Z	HG03234	32	2.0833333333333335	125
barcode66	lpa5104	69	35	2026-02-02T15:32:00Z	HG02657	30	2.0833333333333335	125
barcode70	lpa5104	79	36	2026-02-02T15:32:00Z	NA18868	29	2.0833333333333335	125
barcode65	lpa5104	96	37	2026-02-02T15:32:00Z	HG01593	31	2.0833333333333335	125
barcode71	lpa5104	83	30	2026-02-02T15:33:00Z	NA19098	29	2.1	126
barcode72	lpa5104	11	31	2026-02-02T15:33:00Z	NA19190	21	2.1	126
barcode69	lpa5104	18	33	2026-02-02T15:33:00Z	HG03765	28	2.1	126
barcode68	lpa5104	145	34	2026-02-02T15:33:00Z	HG03234	33	2.1	126
barcode66	lpa5104	69	35	2026-02-02T15:33:00Z	HG02657	31	2.1	126
barcode70	lpa5104	79	36	2026-02-02T15:33:00Z	NA18868	30	2.1	126
barcode65	lpa5104	96	37	2026-02-02T15:33:00Z	HG01593	32	2.1	126
barcode67	lpa5104	153	38	2026-02-02T15:33:00Z	HG02778	29	2.1	126
barcode72	lpa5104	11	31	2026-02-02T15:34:00Z	NA19190	22	2.1166666666666667	127
barcode69	lpa5104	18	33	2026-02-02T15:34:00Z	HG03765	29	2.1166666666666667	127
barcode68	lpa5104	145	34	2026-02-02T15:34:00Z	HG03234	34	2.1166666666666667	127
barcode66	lpa5104	69	35	2026-02-02T15:34:00Z	HG02657	32	2.1166666666666667	127
barcode70	lpa5104	79	36	2026-02-02T15:34:00Z	NA18868	31	2.1166666666666667	127
barcode65	lpa5104	96	37	2026-02-02T15:34:00Z	HG01593	33	2.1166666666666667	127
barcode67	lpa5104	153	38	2026-02-02T15:34:00Z	HG02778	30	2.1166666666666667	127
barcode71	lpa5104	152	39	2026-02-02T15:34:00Z	NA19098	30	2.1166666666666667	127
barcode69	lpa5104	18	33	2026-02-02T15:36:00Z	HG03765	30	2.15	129
barcode68	lpa5104	145	34	2026-02-02T15:36:00Z	HG03234	35	2.15	129
barcode66	lpa5104	69	35	2026-02-02T15:36:00Z	HG02657	33	2.15	129
barcode70	lpa5104	79	36	2026-02-02T15:36:00Z	NA18868	32	2.15	129
barcode65	lpa5104	96	37	2026-02-02T15:36:00Z	HG01593	34	2.15	129
barcode67	lpa5104	153	38	2026-02-02T15:36:00Z	HG02778	31	2.15	129
barcode71	lpa5104	152	39	2026-02-02T15:36:00Z	NA19098	31	2.15	129
barcode72	lpa5104	30	40	2026-02-02T15:36:00Z	NA19190	23	2.15	129
barcode68	lpa5104	145	34	2026-02-02T15:46:00Z	HG03234	36	2.316666666666667	139
barcode66	lpa5104	69	35	2026-02-02T15:46:00Z	HG02657	34	2.316666666666667	139
barcode70	lpa5104	79	36	2026-02-02T15:46:00Z	NA18868	33	2.316666666666667	139
barcode65	lpa5104	96	37	2026-02-02T15:46:00Z	HG01593	35	2.316666666666667	139
barcode67	lpa5104	153	38	2026-02-02T15:46:00Z	HG02778	32	2.316666666666667	139
barcode71	lpa5104	152	39	2026-02-02T15:46:00Z	NA19098	32	2.316666666666667	139
barcode72	lpa5104	30	40	2026-02-02T15:46:00Z	NA19190	24	2.316666666666667	139
barcode69	lpa5104	38	41	2026-02-02T15:46:00Z	HG03765	31	2.316666666666667	139
barcode66	lpa5104	69	35	2026-02-02T15:49:00Z	HG02657	35	2.3666666666666667	142
barcode70	lpa5104	79	36	2026-02-02T15:49:00Z	NA18868	34	2.3666666666666667	142
barcode65	lpa5104	96	37	2026-02-02T15:49:00Z	HG01593	36	2.3666666666666667	142
barcode67	lpa5104	153	38	2026-02-02T15:49:00Z	HG02778	33	2.3666666666666667	142
barcode71	lpa5104	152	39	2026-02-02T15:49:00Z	NA19098	33	2.3666666666666667	142
barcode72	lpa5104	30	40	2026-02-02T15:49:00Z	NA19190	25	2.3666666666666667	142
barcode69	lpa5104	38	41	2026-02-02T15:49:00Z	HG03765	32	2.3666666666666667	142
barcode68	lpa5104	235	42	2026-02-02T15:49:00Z	HG03234	37	2.3666666666666667	142
barcode70	lpa5104	79	36	2026-02-02T15:58:00Z	NA18868	35	2.5166666666666666	151
barcode65	lpa5104	96	37	2026-02-02T15:58:00Z	HG01593	37	2.5166666666666666	151
barcode67	lpa5104	153	38	2026-02-02T15:58:00Z	HG02778	34	2.5166666666666666	151
barcode71	lpa5104	152	39	2026-02-02T15:58:00Z	NA19098	34	2.5166666666666666	151
barcode72	lpa5104	30	40	2026-02-02T15:58:00Z	NA19190	26	2.5166666666666666	151
barcode69	lpa5104	38	41	2026-02-02T15:58:00Z	HG03765	33	2.5166666666666666	151
barcode68	lpa5104	235	42	2026-02-02T15:58:00Z	HG03234	38	2.5166666666666666	151
barcode66	lpa5104	136	43	2026-02-02T15:58:00Z	HG02657	36	2.5166666666666666	151
barcode70	lpa5104	79	36	2026-02-02T16:02:00Z	NA18868	36	2.5833333333333335	155
barcode67	lpa5104	153	38	2026-02-02T16:02:00Z	HG02778	35	2.5833333333333335	155
barcode71	lpa5104	152	39	2026-02-02T16:02:00Z	NA19098	35	2.5833333333333335	155
barcode72	lpa5104	30	40	2026-02-02T16:02:00Z	NA19190	27	2.5833333333333335	155
barcode69	lpa5104	38	41	2026-02-02T16:02:00Z	HG03765	34	2.5833333333333335	155
barcode68	lpa5104	235	42	2026-02-02T16:02:00Z	HG03234	39	2.5833333333333335	155
barcode66	lpa5104	136	43	2026-02-02T16:02:00Z	HG02657	37	2.5833333333333335	155
barcode65	lpa5104	171	44	2026-02-02T16:02:00Z	HG01593	38	2.5833333333333335	155
barcode67	lpa5104	153	38	2026-02-02T16:03:00Z	HG02778	36	2.6	156
barcode71	lpa5104	152	39	2026-02-02T16:03:00Z	NA19098	36	2.6	156
barcode72	lpa5104	30	40	2026-02-02T16:03:00Z	NA19190	28	2.6	156
barcode69	lpa5104	38	41	2026-02-02T16:03:00Z	HG03765	35	2.6	156
barcode68	lpa5104	235	42	2026-02-02T16:03:00Z	HG03234	40	2.6	156
barcode66	lpa5104	136	43	2026-02-02T16:03:00Z	HG02657	38	2.6	156
barcode65	lpa5104	171	44	2026-02-02T16:03:00Z	HG01593	39	2.6	156
barcode70	lpa5104	149	45	2026-02-02T16:03:00Z	NA18868	37	2.6	156
barcode71	lpa5104	152	39	2026-02-02T16:08:00Z	NA19098	37	2.683333333333333	161
barcode72	lpa5104	30	40	2026-02-02T16:08:00Z	NA19190	29	2.683333333333333	161
barcode69	lpa5104	38	41	2026-02-02T16:08:00Z	HG03765	36	2.683333333333333	161
barcode68	lpa5104	235	42	2026-02-02T16:08:00Z	HG03234	41	2.683333333333333	161
barcode66	lpa5104	136	43	2026-02-02T16:08:00Z	HG02657	39	2.683333333333333	161
barcode65	lpa5104	171	44	2026-02-02T16:08:00Z	HG01593	40	2.683333333333333	161
barcode70	lpa5104	149	45	2026-02-02T16:08:00Z	NA18868	38	2.683333333333333	161
barcode67	lpa5104	281	46	2026-02-02T16:08:00Z	HG02778	37	2.683333333333333	161
barcode72	lpa5104	30	40	2026-02-02T16:09:00Z	NA19190	30	2.7	162
barcode69	lpa5104	38	41	2026-02-02T16:09:00Z	HG03765	37	2.7	162
barcode68	lpa5104	235	42	2026-02-02T16:09:00Z	HG03234	42	2.7	162
