task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
284	1a/b7ee91	2618887	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:49:22.601	3m 21s	3m 19s	181.5%	3.8 GB	183.9 GB	61.3 MB	37.2 MB
286	89/97e858	2631737	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:49:42.340	3m 10s	3m 8s	183.8%	3.1 GB	182.5 GB	61.3 MB	37.2 MB
289	74/d87f35	2671701	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:50:30.589	2m 32s	2m 30s	180.0%	2.4 GB	179 GB	60.7 MB	37 MB
288	99/f14c48	2646374	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:49:58.101	3m 8s	3m 5s	179.9%	2.6 GB	181.7 GB	61.3 MB	37.2 MB
285	6e/5c5af5	2643537	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:49:54.952	3m 15s	3m 13s	178.6%	2.7 GB	181.8 GB	61.5 MB	37.4 MB
287	af/f4aa5e	2666200	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:50:23.163	2m 49s	2m 47s	187.4%	3.4 GB	183.2 GB	61.5 MB	37.3 MB
291	b9/07cfed	2674430	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:50:35.617	2m 38s	2m 36s	186.6%	2.2 GB	182.5 GB	61.2 MB	37.2 MB
290	ff/bb1c97	2673039	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:50:32.679	2m 44s	2m 42s	187.3%	2.5 GB	181.3 GB	61.7 MB	37.4 MB
293	bd/a9a0d5	2713668	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:51:43.004	1m 35s	1m 33s	184.1%	2.2 GB	140.3 GB	60.8 MB	37 MB
292	18/d7103f	2687641	UMI_PIPELINE:UMI_POLISHING:POLISH_CLUSTER (barcode02)	COMPLETED	0	2025-07-09 10:51:01.479	2m 19s	2m 17s	188.8%	2.3 GB	178.7 GB	61.8 MB	37.5 MB
294	19/d45e6d	2771358	UMI_PIPELINE:UMI_POLISHING:MERGE_CONSENSUS_FASTQ (1)	COMPLETED	0	2025-07-09 10:53:20.208	797ms	28ms	109.4%	3.3 MB	4.4 MB	26.5 MB	26.4 MB
295	73/dbef47	2771838	UMI_PIPELINE:UMI_POLISHING:FILTER_CONSENSUS_FASTQ (1)	COMPLETED	0	2025-07-09 10:53:21.028	755ms	204ms	1772.5%	12.2 MB	42.8 MB	26.5 MB	26.4 MB
296	21/746558	2772080	UMI_PIPELINE:UMI_POLISHING:MAP_CONSENSUS (1)	COMPLETED	0	2025-07-09 10:53:21.801	1s	357ms	1583.4%	16.1 MB	1.9 GB	61.6 MB	35.1 MB
297	4c/abfdfe	2772101	UMI_PIPELINE:CONSENSUS_POLISHING:DETECT_UMI_CONSENSUS_FASTQ (1)	COMPLETED	0	2025-07-09 10:53:21.815	1.3s	644ms	88.1%	9.5 MB	13.7 MB	27.5 MB	27 MB
299	ee/ce46cb	2772804	UMI_PIPELINE:CONSENSUS_POLISHING:CLUSTER_CONSENSUS (1)	COMPLETED	0	2025-07-09 10:53:23.180	825ms	194ms	224.0%	12.4 MB	42.9 MB	27.1 MB	53.6 MB
300	66/a04eb3	2773182	UMI_PIPELINE:CONSENSUS_POLISHING:REFORMAT_CONSENSUS_CLUSTER (1)	COMPLETED	0	2025-07-09 10:53:24.163	750ms	146ms	98.4%	11.2 MB	14.9 MB	27.8 MB	26.2 MB
301	eb/0696ff	2773447	UMI_PIPELINE:CONSENSUS_POLISHING:MAP_FINAL_CONSENSUS (1)	COMPLETED	0	2025-07-09 10:53:24.932	889ms	359ms	1584.8%	14.2 MB	1.3 GB	61.2 MB	34.9 MB
298	8b/920c98	2772675	UMI_PIPELINE:VARIANT_CALLING:MUTSERVE (1)	COMPLETED	0	2025-07-09 10:53:22.818	3.5s	2.7s	221.6%	969.1 MB	21 GB	19.1 MB	2.6 MB
302	0e/baf5ac	2773931	UMI_PIPELINE:CONSENSUS_VARIANT_CALLING:MUTSERVE (1)	COMPLETED	0	2025-07-09 10:53:25.834	3.2s	2.6s	212.3%	956.9 MB	20.9 GB	18.8 MB	2.4 MB
